run_id,a_mm,b_mm,E1_1e11Pa,E2_1e11Pa,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,f6_Hz,f7_Hz
22,281.70374,24.153603,0.7229396,0.61974572,19.342,39.429,87.363,102.84,139.52,139.79,218.7
23,279.05549,26.3421,0.86346699,0.7963846,19.441,39.718,88.479,104.21,138.38,138.69,222.38
24,284.73709,29.052778,0.65575673,0.5484416,18.344,38.363,84.313,100.05,131.3,131.59,212.56
25,281.38298,28.764031,0.74275811,0.80731215,18.827,39.044,86.442,102.36,133.74,134.04,218.02
26,268.58083,20.216707,0.54703404,0.61657817,21.692,42.385,96.408,111.05,152.71,152.96,231.61
27,285.63171,21.95865,0.83948343,0.67546945,19.164,38.999,85.794,101.37,140.41,140.68,214.21
28,280.79529,25.765695,0.62146227,0.85513284,19.226,39.415,87.283,102.99,137.64,137.95,219.17
29,282.42909,21.737135,0.81756592,0.87310182,19.605,39.625,87.708,103.32,142.46,142.71,218.95
30,273.55151,28.200734,0.66313987,0.56565709,19.903,40.523,91.158,106.47,138.75,139.05,225.92
31,273.0256,24.141359,0.75420923,0.67942107,20.539,41.09,92.668,107.92,144.92,145.23,231.08
32,276.4936,29.242827,0.56580795,0.89605316,19.345,39.867,88.952,104.69,135.35,135.66,224.32
33,271.11646,28.618613,0.78573115,0.65209892,20.235,41.015,92.838,108.24,139.96,140.36,231.72
34,266.90449,29.307681,0.75359619,0.76120312,20.75,41.79,95.396,110.77,141.53,141.85,238.68
35,275.24351,27.880042,0.67019972,0.58897238,19.715,40.241,90.198,105.58,138.2,138.49,225.45
36,281.09924,21.505984,0.59240879,0.74052037,19.738,39.822,88.239,103.61,143.11,143.35,220.05
37,279.38917,26.968246,0.8874872,0.55883731,19.329,39.593,88.163,103.69,137.34,137.67,220.88
38,283.67486,23.947921,0.70804628,0.65551582,19.111,39.084,86.2,101.77,138.67,139,215.78
39,275.68908,25.499773,0.73995845,0.72765322,19.98,40.427,90.619,106.09,141.22,141.55,227.23
40,284.88934,27.388605,0.82875429,0.78712245,18.56,38.542,84.829,100.78,133.7,133.99,213.58
41,269.35189,25.115548,0.61743863,0.89077074,20.878,41.659,94.541,109.83,145.43,145.75,236.87
42,266.33159,24.534383,0.81377514,0.85854139,21.491,42.416,97.073,112.27,148.65,148.94,242.23
43,268.9772,26.53527,0.77478926,0.86904384,20.798,41.635,94.661,110.06,144.07,144.36,237.71
44,283.36617,27.269392,0.78263826,0.5666295,18.756,38.809,85.686,101.35,134.53,134.82,215.5
45,272.73737,28.982044,0.59121748,0.83512819,19.892,40.598,91.351,106.93,137.99,138.3,230.29
46,276.10945,23.950536,0.84116198,0.7793533,20.152,40.542,90.913,106.38,143.3,143.58,227.6
47,266.87468,21.260453,0.75681828,0.70213216,21.875,42.676,97.638,112.48,152.93,153.21,237.75
48,271.42625,24.226254,0.64120355,0.66400213,20.707,41.342,93.488,108.6,145.54,145.82,232.2
49,274.49368,22.608188,0.60187076,0.71842455,20.488,40.935,91.902,107.08,145.55,145.81,229.44
50,274.2241,22.558295,0.60693528,0.71578902,20.534,40.991,92.127,107.3,145.94,146.23,229.97
51,275.81228,25.691815,0.80839348,0.70929258,19.951,40.388,90.572,106.06,141.06,141.38,227.28
52,274.98311,26.399457,0.63875441,0.87034392,19.927,40.447,90.675,106.24,140.3,140.59,227.78
53,268.71533,23.827798,0.55278821,0.83778053,21.131,41.93,95.214,110.31,147.41,147.7,238.03
54,276.81793,23.191953,0.61226222,0.68293991,20.079,40.41,90.33,105.59,143.51,143.82,225.79
55,279.45994,23.599516,0.66032574,0.83095218,19.695,39.908,88.731,104.27,141.39,141.67,222.03
56,284.08746,24.05708,0.77736912,0.57587108,19.061,39.004,86.028,101.55,138.4,138.66,215.37
57,275.41964,21.822412,0.85867896,0.51011897,20.557,40.913,91.948,106.92,146.69,146.95,221.62
58,266.23103,24.619629,0.5759098,0.73843036,21.395,42.319,96.683,111.67,148.08,148.37,239.03
59,274.67774,26.704002,0.57848719,0.85117154,19.898,40.44,90.66,106.18,139.88,140.17,227.8
60,269.29718,26.587767,0.80419785,0.87839097,20.753,41.579,94.498,109.93,143.85,144.17,237.29
61,266.45007,29.271689,0.83150701,0.50535905,20.842,41.882,95.799,110.78,141.91,142.22,221.55
62,280.31439,29.423466,0.64976207,0.72242818,18.851,39.135,86.739,102.54,133.25,133.55,218.85
63,274.10139,26.107534,0.86655623,0.63619831,20.141,40.669,91.588,106.97,141.65,141.94,228.72
64,272.82297,22.159046,0.85640418,0.74241397,20.889,41.419,93.557,108.78,147.83,148.1,233.24
65,276.31318,27.745355,0.73437153,0.69684547,19.612,40.088,89.705,105.29,137.79,138.09,225.65
66,271.56777,25.352232,0.79304402,0.84435228,20.593,41.265,93.349,108.77,144.12,144.45,234.1
67,272.61218,23.661643,0.50893683,0.67026938,20.55,41.115,92.582,107.64,145.16,145.42,230.61
68,271.25063,28.564603,0.58051888,0.54172056,20.143,40.898,92.36,107.5,139.47,139.77,224.73
69,268.86943,21.12451,0.63009035,0.78864079,21.544,42.25,96.097,111.05,151.39,151.65,238.52
70,281.55811,22.829322,0.51896298,0.84072152,19.463,39.557,87.388,102.88,140.77,141.09,218.41
71,267.21998,23.874664,0.88591866,0.64811054,21.47,42.309,96.726,111.73,149.12,149.41,234.1
72,277.28041,27.554206,0.86130504,0.78471474,19.532,39.943,89.288,105.02,137.73,138.05,224.75
73,277.87154,24.362183,0.68499101,0.53852961,19.814,40.105,89.493,104.71,141.41,141.68,221.99
74,266.0739,20.342179,0.73622138,0.50922097,22.145,42.95,98.513,112.93,154.87,155.15,222.1
75,285.91311,20.081879,0.88850487,0.74841078,19.405,39.209,86.277,101.83,142.67,142.9,214.8
76,274.81238,24.982457,0.68058955,0.57977673,20.145,40.615,91.2,106.4,142.44,142.74,226.17
77,272.29276,22.43351,0.56152961,0.50185933,20.813,41.355,93.3,108.04,147.14,147.4,221
78,277.43976,25.738145,0.79175342,0.76219966,19.716,40.074,89.556,105.14,139.97,140.26,224.74
79,274.03009,29.152905,0.57380328,0.88221481,19.685,40.33,90.489,106.14,137.11,137.42,228.21
80,269.94886,23.36833,0.74596914,0.69023065,21.086,41.779,94.902,109.98,147.89,148.17,234.96
81,279.16629,20.976976,0.77196473,0.68723914,20.137,40.303,89.828,105.12,145.38,145.68,223.81
82,282.59556,28.266923,0.637906,0.82824394,18.695,38.835,85.67,101.56,133.48,133.78,215.93
83,284.62864,29.842224,0.84614364,0.64370476,18.322,38.368,84.469,100.43,130.64,130.96,213.26
84,267.39248,21.574129,0.51027559,0.73350854,21.64,42.44,96.652,111.44,151.33,151.59,238.31
85,281.90249,24.838431,0.65260893,0.70163962,19.202,39.292,86.928,102.52,138.29,138.57,217.93
86,278.75552,22.542601,0.7511058,0.77105212,19.962,40.184,89.586,105.03,143.49,143.78,223.82
87,266.5634,20.72524,0.62219396,0.72599335,21.959,42.776,97.804,112.56,153.53,153.85,239.02
88,274.51059,21.095478,0.81169159,0.66808835,20.782,41.187,92.709,107.83,148.27,148.54,230.2
89,278.41403,20.429356,0.58323351,0.88880253,20.258,40.477,90.188,105.51,146.13,146.38,224.52
90,270.84191,28.692514,0.62908473,0.69864787,20.207,41.002,92.716,108.1,139.7,140,232.51
91,283.49662,29.91703,0.84233062,0.65989729,18.453,38.569,85.068,101.01,131.18,131.49,214.89
92,279.5596,29.624941,0.71050651,0.58715372,18.945,39.267,87.237,102.9,133.52,133.88,220.06
93,278.3933,24.926571,0.59432062,0.79561238,19.641,39.94,88.868,104.4,140.02,140.31,222.76
94,278.68044,28.405249,0.55970387,0.71034068,19.148,39.509,87.781,103.41,135.24,135.53,221.1
95,285.14674,23.019928,0.83516846,0.54795727,19.081,38.953,85.818,101.3,139.14,139.41,214.44
96,280.67848,27.445867,0.56947026,0.80899728,19.01,39.24,86.839,102.57,135.38,135.71,218.53
97,279.20178,20.281542,0.58459207,0.62898734,20.178,40.345,89.716,104.82,145.76,146.05,223.13
98,276.71091,27.058875,0.50474251,0.82794177,19.543,39.986,89.134,104.68,138.03,138.32,224.06
99,283.08294,26.766943,0.53480971,0.65676146,18.771,38.845,85.515,101.15,134.85,135.18,215
100,285.57968,29.85958,0.70552003,0.54479505,18.169,38.154,83.758,99.58,130,130.3,211.4
101,274.32326,28.851241,0.78954471,0.89316951,19.757,40.374,90.719,106.47,137.72,138.03,228.75
102,270.55308,24.446373,0.59841363,0.55625611,20.789,41.472,93.897,108.8,145.59,145.88,226.26
103,275.0606,21.17241,0.76388308,0.60464217,20.678,41.055,92.284,107.33,147.62,147.93,227.94
104,278.88677,24.665377,0.78624131,0.53238642,19.669,39.914,88.953,104.25,140.59,140.86,221.03
105,267.86031,21.429924,0.76979224,0.59620657,21.709,42.464,96.961,111.72,151.98,152.28,230.11
106,285.24126,27.300366,0.56620079,0.76973229,18.451,38.424,84.252,100.09,133.07,133.38,212.06
107,273.83742,26.013901,0.52452908,0.74717866,20.082,40.653,91.216,106.56,141.12,141.4,228.9
108,281.64259,21.035152,0.61969296,0.81471735,19.743,39.792,88.076,103.5,143.47,143.71,219.53
109,278.06519,21.381688,0.71435898,0.55081734,20.213,40.435,90.286,105.37,145.26,145.59,223.12
110,283.98675,26.29909,0.85082714,0.87486304,18.816,38.832,85.639,101.58,135.53,135.81,215.27
111,273.24539,29.981018,0.82489972,0.8192663,19.779,40.481,91.177,106.91,136.86,137.17,230.12
112,285.82478,28.473875,0.69649052,0.77785354,18.297,38.257,83.885,99.881,131.54,131.86,211.5
113,277.12367,21.638072,0.73342049,0.77586556,20.315,40.611,90.83,106.16,145.56,145.82,226.55
114,275.1746,25.845166,0.76770267,0.53478298,20.006,40.466,90.853,106.08,141.21,141.5,223.45
115,276.08166,20.936035,0.62774915,0.69265852,20.522,40.852,91.516,106.64,146.97,147.23,227.83
116,273.31053,28.848161,0.82067864,0.86090209,19.901,40.569,91.398,107.1,138.39,138.71,230.34
117,277.90666,21.4891,0.7610617,0.86313587,20.231,40.48,90.403,105.83,145.41,145.71,225.52
118,268.15944,22.79334,0.71649681,0.68892364,21.429,42.201,96.198,111.16,149.72,149.99,236.28
119,281.11462,20.605705,0.67848959,0.70731751,19.899,39.966,88.67,103.98,144.49,144.75,220.85
120,275.38247,29.486621,0.75832251,0.5911088,19.52,40.067,89.842,105.36,136.24,136.54,225.22
121,275.53103,24.722004,0.54388004,0.79264143,20.021,40.467,90.559,105.93,141.95,142.25,226.89
122,274.71439,26.827655,0.59777598,0.75069146,19.892,40.434,90.649,106.12,139.73,140.02,227.78
123,282.6921,29.732705,0.68755472,0.53075719,18.542,38.699,85.395,101.09,131.55,131.86,215.42
124,271.91655,23.748491,0.70303532,0.64618928,20.734,41.335,93.42,108.54,145.99,146.27,231.51
125,272.52847,23.299229,0.69498122,0.89833213,20.705,41.272,93.123,108.47,146.17,146.47,232.88
126,283.71536,26.414411,0.74905949,0.81144623,18.804,38.83,85.619,101.48,135.55,135.84,215.24
127,275.91155,26.236688,0.68307314,0.59877819,19.841,40.291,90.234,105.59,140.03,140.32,225.4
128,273.10211,20.837499,0.66486913,0.62642908,20.988,41.47,93.527,108.48,149.18,149.43,230.38
129,282.10554,22.967325,0.85426351,0.63312534,19.485,39.533,87.616,103.09,141.11,141.37,218.97
130,280.91746,27.656193,0.81425133,0.68551108,19.031,39.234,87.04,102.8,135.54,135.83,219.05
131,278.50534,22.702047,0.8819045,0.51251484,20,40.204,89.775,104.94,143.55,143.84,220.81
132,284.55911,22.138867,0.52696406,0.52165358,19.164,39.059,85.859,101.08,140.04,140.28,214.16
133,277.76807,27.974485,0.61190641,0.60985501,19.349,39.743,88.556,104.06,136.41,136.78,222.73
134,273.43936,22.249277,0.65032715,0.84719479,20.715,41.215,92.825,108.09,146.94,147.21,231.69
135,282.7318,28.073249,0.82710883,0.5173379,18.759,38.865,85.923,101.56,133.89,134.19,215.9
136,267.05045,22.048896,0.84441543,0.71210515,21.755,42.568,97.391,112.33,151.81,152.1,238.21
137,277.6875,23.220579,0.67450637,0.88589104,19.989,40.285,89.903,105.4,143.1,143.37,224.87
138,280.58511,27.639684,0.71206011,0.52278497,19.051,39.266,87.098,102.59,135.5,135.79,218.14
139,272.30435,23.404241,0.50023791,0.5818478,20.632,41.205,92.828,107.73,145.57,145.84,227.78
140,266.11815,25.277773,0.5518337,0.63915796,21.303,42.243,96.517,111.39,147.21,147.51,233.41
141,270.22367,26.640103,0.74664307,0.67600924,20.603,41.371,93.804,109.08,143.09,143.39,233.54
142,278.22494,23.646235,0.84921626,0.55207708,19.904,40.159,89.709,104.97,142.39,142.67,222.67
143,267.75712,26.941129,0.51293003,0.58336084,20.812,41.711,94.857,109.78,143.65,143.98,228.77
144,284.24163,28.501849,0.5288009,0.67312534,18.422,38.475,84.456,100.23,131.9,132.22,212.87
145,271.30493,22.318635,0.89306377,0.56205306,21.09,41.68,94.495,109.44,148.69,148.97,226.87
146,273.63736,28.702435,0.87237448,0.79148692,19.886,40.519,91.254,106.93,138.49,138.8,229.95
147,282.05238,29.655464,0.76597721,0.60770429,18.647,38.831,85.875,101.69,132.29,132.59,216.69
148,270.01017,21.683765,0.67763662,0.83899283,21.314,41.978,95.26,110.37,150.03,150.32,237.43
149,272.98335,21.335663,0.72548323,0.73093151,20.941,41.443,93.528,108.64,148.66,148.93,232.73
150,282.8052,25.938686,0.87093752,0.78001095,19.007,39.071,86.391,102.21,136.8,137.09,217.03
151,278.99248,27.193273,0.89830575,0.6515733,19.353,39.649,88.369,104.02,137.39,137.69,222.21
152,281.40991,20.686972,0.60584133,0.58466143,19.821,39.869,88.324,103.48,143.9,144.18,219.77
153,276.58436,25.990044,0.74068277,0.61375753,19.797,40.208,89.962,105.36,140.11,140.39,225.17
154,281.89027,20.102448,0.88210021,0.61074612,19.918,39.918,88.61,103.88,145.15,145.41,220.42
155,267.19796,21.861727,0.51668481,0.86513016,21.628,42.448,96.691,111.61,150.99,151.29,240.77
156,280.2802,22.281095,0.52158891,0.72854068,19.706,39.851,88.299,103.63,142.19,142.45,220.49
157,270.37795,21.792906,0.80324542,0.84232118,21.271,41.91,95.193,110.36,149.98,150.26,237.31
158,283.26425,28.900225,0.53750168,0.66154982,18.5,38.614,84.947,100.7,132.02,132.31,214.17
159,272.1779,28.125731,0.78158727,0.82499318,20.138,40.849,92.26,107.84,139.91,140.23,232.21
160,271.71346,27.833864,0.64642391,0.57707298,20.2,40.922,92.4,107.61,140.29,140.59,227.53
161,282.25361,24.25148,0.77384757,0.88793083,19.278,39.357,87.064,102.81,139.1,139.37,218.11
162,268.35142,26.870068,0.60287598,0.54392716,20.786,41.65,94.717,109.65,143.61,143.95,225.28
163,282.98576,25.244782,0.85327803,0.52771128,19.072,39.104,86.464,101.96,137.53,137.85,216.51
164,267.54628,25.533581,0.56200462,0.50237522,21.064,41.929,95.518,110.23,145.87,146.2,221.21
165,272.03851,25.411883,0.50398674,0.52918855,20.393,41.022,92.47,107.4,143.02,143.33,223.56
166,276.96396,20.492639,0.79856179,0.59375629,20.522,40.784,91.36,106.44,147.42,147.67,225.95
167,279.72665,29.367402,0.69012413,0.53674893,18.952,39.261,87.17,102.74,133.65,133.96,219
168,269.11398,23.542667,0.54891652,0.60220221,21.102,41.837,94.967,109.82,147.58,147.85,230.25
169,267.64779,20.764947,0.68825806,0.63562193,21.81,42.555,97.165,111.9,152.87,153.13,233.22
170,270.44169,26.079516,0.55430465,0.85696353,20.566,41.325,93.436,108.75,143.22,143.51,234.43
171,284.42326,29.519847,0.77926457,0.57312879,18.369,38.418,84.567,100.39,131.05,131.35,213.4
172,269.43675,27.763741,0.69878585,0.72196429,20.553,41.402,93.963,109.29,141.84,142.21,235.07
173,269.03664,23.144328,0.5318437,0.68121442,21.165,41.902,95.088,110.01,148.15,148.45,234.84
174,271.83275,29.00938,0.64463831,0.70484996,20.037,40.794,92.05,107.49,138.66,138.97,231.44
175,269.53795,20.854241,0.57145236,0.74473997,21.454,42.118,95.597,110.48,151.19,151.49,236.76
176,273.76857,22.367096,0.7309222,0.80283524,20.674,41.157,92.718,107.99,146.74,147.01,231.51
177,270.92969,27.485882,0.8753199,0.6222368,20.42,41.164,93.314,108.63,141.75,142.06,230.92
178,266.69489,27.240372,0.72919939,0.5715895,21.035,42.002,95.965,110.95,144.46,144.77,227.92
179,276.29163,24.899937,0.60894557,0.84967543,19.935,40.353,90.205,105.7,141.46,141.75,226.13
180,283.54809,22.914818,0.72190012,0.75456879,19.273,39.252,86.625,102.23,140.04,140.29,216.54
181,279.93284,25.620397,0.57668543,0.77260759,19.333,39.558,87.739,103.34,138.24,138.54,220.22
182,284.35354,22.656841,0.83235447,0.73774867,19.23,39.147,86.317,101.96,140.13,140.39,215.72
183,270.18486,28.028744,0.65735619,0.85204794,20.405,41.235,93.353,108.83,140.94,141.25,234.98
184,277.06526,20.549879,0.50769202,0.75704091,20.386,40.676,90.795,105.92,146.45,146.69,225.93
185,268.28044,20.185044,0.62408051,0.81692735,21.779,42.495,96.81,111.7,153.2,153.46,239.92
186,267.95327,21.929761,0.79489927,0.87738025,21.615,42.386,96.716,111.82,151.31,151.59,241.01
187,282.36329,27.519618,0.72778498,0.76632678,18.845,38.981,86.129,101.96,134.64,134.93,216.78
188,272.42882,23.345765,0.82349924,0.51533666,20.756,41.304,93.369,108.31,146.38,146.65,222.39
189,270.77349,24.024846,0.89798362,0.86675347,20.911,41.581,94.325,109.69,146.59,146.9,236.18
190,277.32024,24.756718,0.55706283,0.66323743,19.78,40.12,89.478,104.8,140.85,141.12,224.11
191,280.06948,28.168269,0.89531999,0.79808019,19.09,39.353,87.486,103.36,135.39,135.7,220.42
192,284.18607,25.053358,0.52260496,0.76492345,18.836,38.823,85.296,100.96,136.44,136.7,213.98
193,267.41321,29.110099,0.51589507,0.7530445,20.584,41.58,94.564,109.81,140.9,141.21,236.96
194,280.16144,28.300883,0.86873267,0.60042865,19.065,39.32,87.387,103.07,135.22,135.53,220.05
195,285.40951,22.872664,0.66947702,0.66627925,19.02,38.887,85.476,101.04,138.88,139.15,213.69
196,269.67257,29.581727,0.81880628,0.50637695,20.336,41.208,93.588,108.75,139.55,139.87,221.52
197,275.70845,24.467165,0.86512364,0.62468828,20.142,40.548,91.034,106.37,142.93,143.21,227.08
198,285.39359,20.021019,0.63543957,0.62019362,19.409,39.238,86.259,101.58,142.67,142.9,214.66
199,279.61374,27.94796,0.64301787,0.51989464,19.118,39.399,87.484,102.93,135.5,135.83,218.84
