run_id,a,b,E1_1e11Pa,E2_1e11Pa,E1_MPa,E2_MPa
74,266.0739,20.342179,0.73622138,0.50922097,73622.138,50922.097
75,285.91311,20.081879,0.88850487,0.74841078,88850.487,74841.078
76,274.81238,24.982457,0.68058955,0.57977673,68058.955,57977.673
77,272.29276,22.43351,0.56152961,0.50185933,56152.961,50185.933
78,277.43976,25.738145,0.79175342,0.76219966,79175.342,76219.966
79,274.03009,29.152905,0.57380328,0.88221481,57380.328,88221.481
80,269.94886,23.36833,0.74596914,0.69023065,74596.914,69023.065
81,279.16629,20.976976,0.77196473,0.68723914,77196.473,68723.914
82,282.59556,28.266923,0.637906,0.82824394,63790.6,82824.394
83,284.62864,29.842224,0.84614364,0.64370476,84614.364,64370.476
84,267.39248,21.574129,0.51027559,0.73350854,51027.559,73350.854
85,281.90249,24.838431,0.65260893,0.70163962,65260.893,70163.962
86,278.75552,22.542601,0.7511058,0.77105212,75110.58,77105.212
87,266.5634,20.72524,0.62219396,0.72599335,62219.396,72599.335
88,274.51059,21.095478,0.81169159,0.66808835,81169.159,66808.835
89,278.41403,20.429356,0.58323351,0.88880253,58323.351,88880.253
90,270.84191,28.692514,0.62908473,0.69864787,62908.473,69864.787
91,283.49662,29.91703,0.84233062,0.65989729,84233.062,65989.729
92,279.5596,29.624941,0.71050651,0.58715372,71050.651,58715.372
93,278.3933,24.926571,0.59432062,0.79561238,59432.062,79561.238
94,278.68044,28.405249,0.55970387,0.71034068,55970.387,71034.068
95,285.14674,23.019928,0.83516846,0.54795727,83516.846,54795.727
96,280.67848,27.445867,0.56947026,0.80899728,56947.026,80899.728
97,279.20178,20.281542,0.58459207,0.62898734,58459.207,62898.734
98,276.71091,27.058875,0.50474251,0.82794177,50474.251,82794.177
99,283.08294,26.766943,0.53480971,0.65676146,53480.971,65676.146
100,285.57968,29.85958,0.70552003,0.54479505,70552.003,54479.505
101,274.32326,28.851241,0.78954471,0.89316951,78954.471,89316.951
102,270.55308,24.446373,0.59841363,0.55625611,59841.363,55625.611
103,275.0606,21.17241,0.76388308,0.60464217,76388.308,60464.217
104,278.88677,24.665377,0.78624131,0.53238642,78624.131,53238.642
105,267.86031,21.429924,0.76979224,0.59620657,76979.224,59620.657
106,285.24126,27.300366,0.56620079,0.76973229,56620.079,76973.229
107,273.83742,26.013901,0.52452908,0.74717866,52452.908,74717.866
108,281.64259,21.035152,0.61969296,0.81471735,61969.296,81471.735
109,278.06519,21.381688,0.71435898,0.55081734,71435.898,55081.734
110,283.98675,26.29909,0.85082714,0.87486304,85082.714,87486.304
111,273.24539,29.981018,0.82489972,0.8192663,82489.972,81926.63
112,285.82478,28.473875,0.69649052,0.77785354,69649.052,77785.354
113,277.12367,21.638072,0.73342049,0.77586556,73342.049,77586.556
114,275.1746,25.845166,0.76770267,0.53478298,76770.267,53478.298
115,276.08166,20.936035,0.62774915,0.69265852,62774.915,69265.852
116,273.31053,28.848161,0.82067864,0.86090209,82067.864,86090.209
117,277.90666,21.4891,0.7610617,0.86313587,76106.17,86313.587
118,268.15944,22.79334,0.71649681,0.68892364,71649.681,68892.364
119,281.11462,20.605705,0.67848959,0.70731751,67848.959,70731.751
120,275.38247,29.486621,0.75832251,0.5911088,75832.251,59110.88
121,275.53103,24.722004,0.54388004,0.79264143,54388.004,79264.143
122,274.71439,26.827655,0.59777598,0.75069146,59777.598,75069.146
123,282.6921,29.732705,0.68755472,0.53075719,68755.472,53075.719
124,271.91655,23.748491,0.70303532,0.64618928,70303.532,64618.928
125,272.52847,23.299229,0.69498122,0.89833213,69498.122,89833.213
126,283.71536,26.414411,0.74905949,0.81144623,74905.949,81144.623
127,275.91155,26.236688,0.68307314,0.59877819,68307.314,59877.819
128,273.10211,20.837499,0.66486913,0.62642908,66486.913,62642.908
129,282.10554,22.967325,0.85426351,0.63312534,85426.351,63312.534
130,280.91746,27.656193,0.81425133,0.68551108,81425.133,68551.108
131,278.50534,22.702047,0.8819045,0.51251484,88190.45,51251.484
132,284.55911,22.138867,0.52696406,0.52165358,52696.406,52165.358
133,277.76807,27.974485,0.61190641,0.60985501,61190.641,60985.501
134,273.43936,22.249277,0.65032715,0.84719479,65032.715,84719.479
135,282.7318,28.073249,0.82710883,0.5173379,82710.883,51733.79
136,267.05045,22.048896,0.84441543,0.71210515,84441.543,71210.515
137,277.6875,23.220579,0.67450637,0.88589104,67450.637,88589.104
138,280.58511,27.639684,0.71206011,0.52278497,71206.011,52278.497
139,272.30435,23.404241,0.50023791,0.5818478,50023.791,58184.78
140,266.11815,25.277773,0.5518337,0.63915796,55183.37,63915.796
141,270.22367,26.640103,0.74664307,0.67600924,74664.307,67600.924
142,278.22494,23.646235,0.84921626,0.55207708,84921.626,55207.708
143,267.75712,26.941129,0.51293003,0.58336084,51293.003,58336.084
144,284.24163,28.501849,0.5288009,0.67312534,52880.09,67312.534
145,271.30493,22.318635,0.89306377,0.56205306,89306.377,56205.306
146,273.63736,28.702435,0.87237448,0.79148692,87237.448,79148.692
147,282.05238,29.655464,0.76597721,0.60770429,76597.721,60770.429
148,270.01017,21.683765,0.67763662,0.83899283,67763.662,83899.283
149,272.98335,21.335663,0.72548323,0.73093151,72548.323,73093.151
150,282.8052,25.938686,0.87093752,0.78001095,87093.752,78001.095
151,278.99248,27.193273,0.89830575,0.6515733,89830.575,65157.33
152,281.40991,20.686972,0.60584133,0.58466143,60584.133,58466.143
153,276.58436,25.990044,0.74068277,0.61375753,74068.277,61375.753
154,281.89027,20.102448,0.88210021,0.61074612,88210.021,61074.612
155,267.19796,21.861727,0.51668481,0.86513016,51668.481,86513.016
156,280.2802,22.281095,0.52158891,0.72854068,52158.891,72854.068
157,270.37795,21.792906,0.80324542,0.84232118,80324.542,84232.118
158,283.26425,28.900225,0.53750168,0.66154982,53750.168,66154.982
159,272.1779,28.125731,0.78158727,0.82499318,78158.727,82499.318
160,271.71346,27.833864,0.64642391,0.57707298,64642.391,57707.298
161,282.25361,24.25148,0.77384757,0.88793083,77384.757,88793.083
162,268.35142,26.870068,0.60287598,0.54392716,60287.598,54392.716
163,282.98576,25.244782,0.85327803,0.52771128,85327.803,52771.128
164,267.54628,25.533581,0.56200462,0.50237522,56200.462,50237.522
165,272.03851,25.411883,0.50398674,0.52918855,50398.674,52918.855
166,276.96396,20.492639,0.79856179,0.59375629,79856.179,59375.629
167,279.72665,29.367402,0.69012413,0.53674893,69012.413,53674.893
168,269.11398,23.542667,0.54891652,0.60220221,54891.652,60220.221
169,267.64779,20.764947,0.68825806,0.63562193,68825.806,63562.193
170,270.44169,26.079516,0.55430465,0.85696353,55430.465,85696.353
171,284.42326,29.519847,0.77926457,0.57312879,77926.457,57312.879
172,269.43675,27.763741,0.69878585,0.72196429,69878.585,72196.429
173,269.03664,23.144328,0.5318437,0.68121442,53184.37,68121.442
174,271.83275,29.00938,0.64463831,0.70484996,64463.831,70484.996
175,269.53795,20.854241,0.57145236,0.74473997,57145.236,74473.997
176,273.76857,22.367096,0.7309222,0.80283524,73092.22,80283.524
177,270.92969,27.485882,0.8753199,0.6222368,87531.99,62223.68
178,266.69489,27.240372,0.72919939,0.5715895,72919.939,57158.95
179,276.29163,24.899937,0.60894557,0.84967543,60894.557,84967.543
180,283.54809,22.914818,0.72190012,0.75456879,72190.012,75456.879
181,279.93284,25.620397,0.57668543,0.77260759,57668.543,77260.759
182,284.35354,22.656841,0.83235447,0.73774867,83235.447,73774.867
183,270.18486,28.028744,0.65735619,0.85204794,65735.619,85204.794
184,277.06526,20.549879,0.50769202,0.75704091,50769.202,75704.091
185,268.28044,20.185044,0.62408051,0.81692735,62408.051,81692.735
186,267.95327,21.929761,0.79489927,0.87738025,79489.927,87738.025
187,282.36329,27.519618,0.72778498,0.76632678,72778.498,76632.678
188,272.42882,23.345765,0.82349924,0.51533666,82349.924,51533.666
189,270.77349,24.024846,0.89798362,0.86675347,89798.362,86675.347
190,277.32024,24.756718,0.55706283,0.66323743,55706.283,66323.743
191,280.06948,28.168269,0.89531999,0.79808019,89531.999,79808.019
192,284.18607,25.053358,0.52260496,0.76492345,52260.496,76492.345
193,267.41321,29.110099,0.51589507,0.7530445,51589.507,75304.45
194,280.16144,28.300883,0.86873267,0.60042865,86873.267,60042.865
195,285.40951,22.872664,0.66947702,0.66627925,66947.702,66627.925
196,269.67257,29.581727,0.81880628,0.50637695,81880.628,50637.695
197,275.70845,24.467165,0.86512364,0.62468828,86512.364,62468.828
198,285.39359,20.021019,0.63543957,0.62019362,63543.957,62019.362
199,279.61374,27.94796,0.64301787,0.51989464,64301.787,51989.464
